Dataset,Attack,Model,eval_L1,eval_L2,eval_Linf,eval_Sen,eval_Mahalanobis,eval_Sparsity,eval_Neighbour_Distance
diabetes,pgd_l_2,svc,0.6285755,0.29999992,0.20740688,0.53715295,0.04969027,7.4609375,0.21686688
diabetes,pgd_l_inf,svc,2.0919464,0.7807993,0.3,1.6867117,0.13423945,7.4609375,0.47830263
diabetes,deepfool,nn_2,0.7204505,0.29117188,0.17011602,0.5704205,0.05597868,7.5390625,0.18725154
diabetes,carlini_l_2,nn_2,0.4421063,0.21136162,0.1392834,0.36130998,0.034385227,8.0,0.15157458
diabetes,carlini_l_inf,nn_2,0.047431394,0.018817138,0.008715668,0.03853705,0.0033033162,6.9921875,0.018817138
diabetes,lowprofool_l_2,nn_2,1.4900798,0.60166866,0.3470963,1.1872813,0.11282893,7.5546875,0.35810772
diabetes,lowprofool_l_inf,nn_2,1.5196503,0.6107632,0.3474266,1.211998,0.114658006,7.5546875,0.3632214
diabetes,fgsm_l_1,nn_2,0.287861,0.11676137,0.068291426,0.22974789,0.021882592,7.5390625,0.11299315
diabetes,fgsm_l_2,nn_2,0.72336245,0.29355282,0.17144808,0.57740325,0.05496416,7.5390625,0.21618468
diabetes,fgsm_l_inf,nn_2,2.1600497,0.7938985,0.3,1.7463723,0.14632063,7.5390625,0.44511086
diabetes,bim,nn_2,2.1187303,0.7765008,0.3,1.7091813,0.14581744,7.8203125,0.4289562
diabetes,mim,nn_2,2.1889324,0.79991764,0.3,1.7691107,0.14922187,7.625,0.4518682
diabetes,pgd_l_1,nn_2,0.29999992,0.12207085,0.071378954,0.2396187,0.022853468,7.546875,0.11735075
diabetes,pgd_l_2,nn_2,0.74005026,0.29999992,0.17490508,0.59131044,0.056219693,7.5546875,0.21786746
diabetes,pgd_l_inf,nn_2,2.1889324,0.79991764,0.3,1.7691107,0.14922187,7.625,0.4518682
breast_cancer,deepfool,lr,8.0252075,1.7005435,0.5239938,1.8599321,0.84267515,29.96875,0.79838645
breast_cancer,carlini_l_2,lr,1.7654017,0.43918982,0.18538053,0.37727907,0.20876953,29.8125,0.30315486
breast_cancer,carlini_l_inf,lr,0.074266866,0.014439868,0.0035925272,0.017482933,0.0067689735,29.703125,0.014439868
breast_cancer,lowprofool_l_2,lr,5.9439607,1.3016142,0.4537273,1.3336506,0.6693607,29.96875,0.4952347
breast_cancer,lowprofool_l_inf,lr,6.212195,1.3524555,0.4515173,1.3992732,0.6920702,29.96875,0.5137716
breast_cancer,fgsm_l_1,lr,0.29991376,0.065194674,0.022698324,0.06769341,0.033398163,29.96875,0.065194674
breast_cancer,fgsm_l_2,lr,1.3792619,0.2999228,0.10444457,0.31119993,0.15366638,29.96875,0.27759576
breast_cancer,fgsm_l_inf,lr,8.097301,1.5262924,0.30000004,1.9884202,0.7074952,29.96875,0.8776908
breast_cancer,bim,lr,8.097301,1.5262924,0.30000004,1.9884202,0.7074952,29.96875,0.8776908
breast_cancer,mim,lr,8.097301,1.5262924,0.30000004,1.9884202,0.7074952,29.96875,0.8776908
breast_cancer,pgd_l_1,lr,0.29999995,0.06521355,0.022704916,0.0677127,0.033407863,29.96875,0.06521355
breast_cancer,pgd_l_2,lr,1.3788989,0.29999992,0.104502775,0.3109712,0.15374067,29.96875,0.27757943
breast_cancer,pgd_l_inf,lr,8.097301,1.5262924,0.30000004,1.9884202,0.7074952,29.96875,0.8776908
breast_cancer,deepfool,svc,1.8211137,0.3922785,0.14080998,0.44955483,0.1540496,29.9375,0.33653048
breast_cancer,carlini_l_2,svc,0.0071787327,0.0018375075,0.0008718787,0.0015614791,0.0006369682,29.703125,0.0018375075
breast_cancer,carlini_l_inf,svc,0.09008303,0.017532315,0.0044320025,0.02122707,0.0062986608,29.703125,0.017532315
breast_cancer,lowprofool_l_2,svc,4.3551884,0.9481445,0.3485444,1.0619885,0.37888184,29.9375,0.6506618
